epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.0786,1.00953,5.14728,2.72835,1.40635,0.00333,1,0.01998,0.00746,0.00133,0.4,0.00312,0.00137,1.58874,7.90048,3.87954,1.86608,2e-05,2e-05,2e-05
2,8.28719,1.22615,5.58676,3.06538,1.64094,0.00333,1,0.07776,0.03056,0.00267,0.8,0.03523,0.01374,0.93004,4.52083,3.4625,1.43439,5.9604e-05,5.9604e-05,5.9604e-05
3,9.98433,0.76001,2.99963,2.64472,1.25126,0.00333,1,0.19471,0.11107,0.00267,0.8,0.1181,0.05577,0.70676,6.00946,3.27015,1.15165,9.868e-05,9.868e-05,9.868e-05
4,11.8087,0.8678,3.4567,2.55054,1.34137,0.00333,1,0.34172,0.16622,0.00267,0.8,0.21648,0.11877,0.62231,6.11276,3.30998,1.06072,0.000137228,0.000137228,0.000137228
5,13.7546,0.72282,2.28494,2.27592,1.13432,0.00333,1,0.51472,0.3312,0.00267,0.8,0.4525,0.27781,0.6235,5.13633,3.29045,1.13774,0.000175248,0.000175248,0.000175248
6,15.5733,0.6358,1.50597,1.85715,1.06955,0.00333,1,0.58773,0.34876,0.00267,0.8,0.52134,0.3707,0.79429,5.07828,3.20654,1.26342,0.00021274,0.00021274,0.00021274
7,17.4872,0.73653,1.40054,1.57575,1.0546,0.00333,1,0.68167,0.38441,0.00267,0.8,0.61528,0.33524,0.81927,6.25064,3.10859,1.29962,0.000249704,0.000249704,0.000249704
8,19.386,0.64351,1.26109,1.30199,1.08283,0.00333,1,0.65929,0.44864,0.00267,0.8,0.60957,0.29899,0.75735,8.12725,3.04841,1.20905,0.00028614,0.00028614,0.00028614
9,21.2756,0.65077,0.71855,1.30848,1.07433,0.00333,1,0.59083,0.39955,0.00267,0.8,0.52861,0.23147,0.67727,7.87068,3.13297,1.19737,0.000322048,0.000322048,0.000322048
10,22.9159,0.51154,0.80012,1.18415,0.91923,0.00333,1,0.44671,0.34713,0.00267,0.8,0.37556,0.16867,0.70468,6.00705,3.15615,1.27807,0.000357428,0.000357428,0.000357428
